TRINITY_DN59_c0_g1_i1	S0007-DNDN59
TRINITY_DN9_c0_g1_i1	S0007-DNDN9
TRINITY_DN47_c0_g1_i1	S0007-DNDN47
TRINITY_DN65_c0_g1_i1	S0007-DNDN65
TRINITY_DN57_c0_g1_i1	S0007-DNDN57
TRINITY_DN25_c0_g1_i2	S0007-DNDN25
TRINITY_DN25_c0_g1_i1	S0007-DNDN25
TRINITY_DN44_c0_g1_i1	S0007-DNDN44
TRINITY_DN16_c0_g1_i1	S0007-DNDN16
TRINITY_DN34_c0_g1_i1	S0007-DNDN34
TRINITY_DN4_c0_g1_i1	S0007-DNDN4
TRINITY_DN14_c0_g1_i1	S0007-DNDN14
TRINITY_DN14_c1_g1_i1	S0007-DNDN14
TRINITY_DN32_c0_g1_i1	S0007-DNDN32
TRINITY_DN89_c0_g1_i1	S0007-DNDN89
TRINITY_DN49_c0_g1_i1	S0007-DNDN49
TRINITY_DN92_c0_g1_i1	S0007-DNDN92
TRINITY_DN27_c0_g1_i1	S0007-DNDN27
TRINITY_DN58_c0_g1_i1	S0007-DNDN58
TRINITY_DN37_c0_g1_i1	S0007-DNDN37
TRINITY_DN85_c0_g1_i1	S0007-DNDN85
TRINITY_DN41_c0_g1_i1	S0007-DNDN41
TRINITY_DN41_c1_g1_i1	S0007-DNDN41
TRINITY_DN30_c0_g1_i1	S0007-DNDN30
TRINITY_DN62_c0_g1_i1	S0007-DNDN62
TRINITY_DN82_c0_g1_i1	S0007-DNDN82
TRINITY_DN88_c0_g1_i1	S0007-DNDN88
TRINITY_DN38_c0_g1_i1	S0007-DNDN38
TRINITY_DN35_c0_g1_i1	S0007-DNDN35
TRINITY_DN13_c0_g1_i1	S0007-DNDN13
TRINITY_DN13_c1_g1_i1	S0007-DNDN13
TRINITY_DN20_c0_g1_i1	S0007-DNDN20
TRINITY_DN12_c0_g1_i1	S0007-DNDN12
TRINITY_DN45_c0_g1_i1	S0007-DNDN45
TRINITY_DN24_c0_g1_i1	S0007-DNDN24
TRINITY_DN26_c0_g1_i1	S0007-DNDN26
TRINITY_DN69_c0_g1_i1	S0007-DNDN69
TRINITY_DN96_c0_g1_i1	S0007-DNDN96
TRINITY_DN79_c0_g1_i1	S0007-DNDN79
TRINITY_DN64_c0_g1_i1	S0007-DNDN64
TRINITY_DN8_c0_g1_i1	S0007-DNDN8
TRINITY_DN52_c0_g1_i1	S0007-DNDN52
TRINITY_DN52_c1_g1_i1	S0007-DNDN52
TRINITY_DN84_c0_g1_i1	S0007-DNDN84
TRINITY_DN73_c0_g1_i1	S0007-DNDN73
TRINITY_DN46_c0_g1_i1	S0007-DNDN46
TRINITY_DN5_c0_g1_i1	S0007-DNDN5
TRINITY_DN53_c0_g1_i1	S0007-DNDN53
TRINITY_DN63_c0_g1_i1	S0007-DNDN63
TRINITY_DN36_c0_g1_i1	S0007-DNDN36
TRINITY_DN87_c0_g1_i1	S0007-DNDN87
TRINITY_DN22_c0_g1_i1	S0007-DNDN22
TRINITY_DN94_c0_g1_i1	S0007-DNDN94
TRINITY_DN74_c0_g1_i1	S0007-DNDN74
TRINITY_DN15_c0_g1_i1	S0007-DNDN15
TRINITY_DN19_c0_g1_i1	S0007-DNDN19
TRINITY_DN72_c0_g1_i1	S0007-DNDN72
TRINITY_DN55_c0_g1_i1	S0007-DNDN55
TRINITY_DN18_c0_g1_i1	S0007-DNDN18
TRINITY_DN51_c0_g1_i1	S0007-DNDN51
TRINITY_DN98_c0_g1_i1	S0007-DNDN98
TRINITY_DN40_c0_g1_i1	S0007-DNDN40
TRINITY_DN50_c0_g1_i1	S0007-DNDN50
TRINITY_DN60_c0_g1_i1	S0007-DNDN60
TRINITY_DN39_c0_g1_i1	S0007-DNDN39
TRINITY_DN95_c0_g1_i1	S0007-DNDN95
TRINITY_DN78_c0_g1_i1	S0007-DNDN78
TRINITY_DN78_c0_g1_i2	S0007-DNDN78
TRINITY_DN33_c0_g1_i1	S0007-DNDN33
TRINITY_DN54_c0_g1_i1	S0007-DNDN54
TRINITY_DN81_c0_g1_i1	S0007-DNDN81
TRINITY_DN75_c0_g1_i1	S0007-DNDN75
TRINITY_DN99_c0_g1_i1	S0007-DNDN99
TRINITY_DN2041_c0_g1_i1	S0007-DNDN2041
TRINITY_DN2024_c0_g1_i1	S0007-DNDN2024
TRINITY_DN2067_c0_g1_i1	S0007-DNDN2067
TRINITY_DN2025_c0_g1_i1	S0007-DNDN2025
TRINITY_DN2000_c0_g1_i1	S0007-DNDN2000
TRINITY_DN2029_c0_g1_i1	S0007-DNDN2029
TRINITY_DN2001_c0_g1_i1	S0007-DNDN2001
TRINITY_DN2071_c0_g1_i1	S0007-DNDN2071
TRINITY_DN2051_c0_g1_i1	S0007-DNDN2051
TRINITY_DN2049_c0_g1_i1	S0007-DNDN2049
TRINITY_DN2022_c0_g1_i1	S0007-DNDN2022
TRINITY_DN2026_c0_g1_i1	S0007-DNDN2026
TRINITY_DN2093_c0_g1_i1	S0007-DNDN2093
TRINITY_DN2098_c0_g1_i1	S0007-DNDN2098
TRINITY_DN2015_c0_g1_i1	S0007-DNDN2015
TRINITY_DN2064_c0_g1_i1	S0007-DNDN2064
TRINITY_DN2083_c0_g1_i1	S0007-DNDN2083
TRINITY_DN2056_c0_g1_i1	S0007-DNDN2056
TRINITY_DN2081_c0_g1_i1	S0007-DNDN2081
TRINITY_DN2017_c0_g1_i1	S0007-DNDN2017
TRINITY_DN2037_c0_g1_i1	S0007-DNDN2037
TRINITY_DN2052_c0_g1_i1	S0007-DNDN2052
TRINITY_DN2077_c0_g1_i1	S0007-DNDN2077
TRINITY_DN2034_c0_g1_i1	S0007-DNDN2034
TRINITY_DN2012_c0_g1_i1	S0007-DNDN2012
TRINITY_DN2065_c0_g1_i1	S0007-DNDN2065
TRINITY_DN2009_c0_g1_i1	S0007-DNDN2009
TRINITY_DN2072_c0_g1_i1	S0007-DNDN2072
TRINITY_DN2058_c0_g1_i1	S0007-DNDN2058
TRINITY_DN2005_c0_g1_i1	S0007-DNDN2005
TRINITY_DN2018_c0_g1_i1	S0007-DNDN2018
TRINITY_DN2039_c0_g1_i1	S0007-DNDN2039
TRINITY_DN2035_c0_g1_i1	S0007-DNDN2035
TRINITY_DN2068_c0_g1_i1	S0007-DNDN2068
TRINITY_DN2045_c0_g1_i1	S0007-DNDN2045
TRINITY_DN2048_c0_g1_i1	S0007-DNDN2048
TRINITY_DN2094_c0_g1_i1	S0007-DNDN2094
TRINITY_DN2084_c0_g1_i1	S0007-DNDN2084
TRINITY_DN2069_c0_g1_i1	S0007-DNDN2069
TRINITY_DN2038_c0_g1_i1	S0007-DNDN2038
TRINITY_DN2092_c0_g1_i1	S0007-DNDN2092
TRINITY_DN2013_c0_g1_i1	S0007-DNDN2013
TRINITY_DN2055_c0_g1_i1	S0007-DNDN2055
TRINITY_DN2078_c0_g1_i1	S0007-DNDN2078
TRINITY_DN2021_c0_g1_i1	S0007-DNDN2021
TRINITY_DN2019_c0_g1_i1	S0007-DNDN2019
TRINITY_DN2046_c0_g1_i1	S0007-DNDN2046
TRINITY_DN2062_c0_g1_i1	S0007-DNDN2062
TRINITY_DN2054_c0_g1_i1	S0007-DNDN2054
TRINITY_DN2042_c0_g1_i1	S0007-DNDN2042
TRINITY_DN2006_c0_g1_i1	S0007-DNDN2006
TRINITY_DN2031_c0_g1_i1	S0007-DNDN2031
TRINITY_DN2063_c0_g1_i1	S0007-DNDN2063
TRINITY_DN2010_c0_g1_i1	S0007-DNDN2010
TRINITY_DN2020_c0_g1_i1	S0007-DNDN2020
TRINITY_DN2096_c0_g1_i1	S0007-DNDN2096
TRINITY_DN2066_c0_g1_i1	S0007-DNDN2066
TRINITY_DN2095_c0_g1_i1	S0007-DNDN2095
TRINITY_DN2070_c0_g1_i1	S0007-DNDN2070
TRINITY_DN2011_c0_g1_i1	S0007-DNDN2011
TRINITY_DN2043_c0_g1_i1	S0007-DNDN2043
TRINITY_DN2060_c0_g1_i1	S0007-DNDN2060
TRINITY_DN2036_c0_g1_i1	S0007-DNDN2036
TRINITY_DN2073_c0_g1_i1	S0007-DNDN2073
TRINITY_DN2099_c0_g1_i1	S0007-DNDN2099
TRINITY_DN2079_c0_g1_i1	S0007-DNDN2079
TRINITY_DN2040_c0_g1_i1	S0007-DNDN2040
TRINITY_DN2090_c0_g1_i1	S0007-DNDN2090
TRINITY_DN2074_c0_g1_i1	S0007-DNDN2074
TRINITY_DN2091_c0_g1_i1	S0007-DNDN2091
TRINITY_DN2032_c0_g1_i1	S0007-DNDN2032
TRINITY_DN2082_c0_g1_i1	S0007-DNDN2082
TRINITY_DN2008_c0_g1_i1	S0007-DNDN2008
TRINITY_DN2047_c0_g1_i1	S0007-DNDN2047
TRINITY_DN2059_c0_g1_i1	S0007-DNDN2059
TRINITY_DN2028_c0_g1_i1	S0007-DNDN2028
TRINITY_DN2076_c0_g1_i1	S0007-DNDN2076
TRINITY_DN2080_c0_g1_i1	S0007-DNDN2080
TRINITY_DN2097_c0_g1_i1	S0007-DNDN2097
TRINITY_DN2033_c0_g1_i1	S0007-DNDN2033
TRINITY_DN2044_c0_g1_i1	S0007-DNDN2044
TRINITY_DN2050_c0_g1_i1	S0007-DNDN2050
TRINITY_DN2003_c0_g1_i1	S0007-DNDN2003
TRINITY_DN2014_c0_g1_i1	S0007-DNDN2014
TRINITY_DN2087_c0_g1_i1	S0007-DNDN2087
TRINITY_DN2053_c0_g1_i1	S0007-DNDN2053
TRINITY_DN2088_c0_g1_i1	S0007-DNDN2088
TRINITY_DN2002_c0_g1_i1	S0007-DNDN2002
TRINITY_DN2007_c0_g1_i1	S0007-DNDN2007
TRINITY_DN2089_c0_g1_i1	S0007-DNDN2089
TRINITY_DN2023_c0_g1_i1	S0007-DNDN2023
TRINITY_DN2057_c0_g1_i1	S0007-DNDN2057
TRINITY_DN497_c0_g1_i1	S0007-DNDN497
TRINITY_DN497_c1_g1_i1	S0007-DNDN497
TRINITY_DN446_c0_g1_i1	S0007-DNDN446
TRINITY_DN466_c1_g1_i1	S0007-DNDN466
TRINITY_DN476_c0_g1_i1	S0007-DNDN476
TRINITY_DN415_c0_g1_i1	S0007-DNDN415
TRINITY_DN452_c0_g1_i1	S0007-DNDN452
TRINITY_DN452_c0_g1_i2	S0007-DNDN452
TRINITY_DN412_c0_g1_i1	S0007-DNDN412
TRINITY_DN468_c0_g1_i1	S0007-DNDN468
TRINITY_DN410_c0_g1_i2	S0007-DNDN410
TRINITY_DN410_c0_g1_i1	S0007-DNDN410
TRINITY_DN423_c0_g1_i1	S0007-DNDN423
TRINITY_DN448_c0_g1_i1	S0007-DNDN448
TRINITY_DN416_c0_g1_i1	S0007-DNDN416
TRINITY_DN416_c1_g1_i1	S0007-DNDN416
TRINITY_DN489_c0_g1_i1	S0007-DNDN489
TRINITY_DN418_c0_g1_i2	S0007-DNDN418
TRINITY_DN418_c0_g1_i1	S0007-DNDN418
TRINITY_DN472_c0_g1_i1	S0007-DNDN472
